Starting name server
Starting event server
Starting consumer
Starting supplier
0 0
1 0
2 0
3 0
2 0
1 0
0 0
4 0
1 0
2 0
0 0
3 0
2 0
1 0
0 0
4 0
0 0
1 0
2 0
3 0
1 0
2 0
0 0
4 0
2 0
0 0
1 0
3 0
1 0
0 0
2 0
4 0
0 0
1 0
2 0
3 0
2 0
1 0
0 0
4 0
2 0
0 0
1 0
1 0
0 0
3 0
2 0
4 0
2 0
0 0
1 0
3 0
2 0
0 0
1 0
4 0
1 0
0 0
2 0
3 0
0 0
2 0
1 0
4 0
2 0
0 0
1 0
3 0
1 0
0 0
2 0
4 0
0 0
1 0
2 0
3 0
2 0
1 0
0 0
4 0
1 0
0 0
2 0
2 0
3 0
0 0
1 0
4 0
0 0
1 0
2 0
3 0
2 0
1 0
0 0
4 0
1 0
0 0
2 0
3 0
0 0
2 0
1 0
4 0
2 0
0 0
1 0
1 0
3 0
0 0
2 0
4 0
0 0
2 0
1 0
3 0
1 0
0 0
2 0
4 0
1 0
0 0
2 0
2 0
0 0
1 0
3 0
4 0
1 0
2 0
0 0
3 0
0 0
2 0
1 0
4 0
2 0
1 0
0 0
3 0
0 0
1 0
2 0
4 0
1 0
2 0
0 0
0 0
3 0
2 0
1 0
4 0
2 0
1 0
0 0
3 0
0 0
1 0
2 0
4 0
1 0
2 0
0 0
0 0
1 0
3 0
2 0
4 0
2 0
1 0
0 0
3 0
1 0
0 0
2 0
4 0
0 0
2 0
1 0
3 0
1 0
2 0
0 0
4 0
2 0
0 0
1 0
3 0
1 0
0 0
2 0
4 0
0 0
1 0
2 0
3 0
2 0
1 0
0 0
4 0
1 0
0 0
2 7
3 0
2 0
0 0
1 0
4 0
0 0
1 0
2 0
3 0
1 0
2 0
0 0
4 0
2 0
0 0
1 0
1 0
3 0
0 0
2 0
4 0
0 0
2 0
1 0
3 0
1 0
2 0
0 0
4 0
2 0
1 0
0 0
1 0
0 0
3 0
2 0
4 0
0 0
2 0
1 0
1 0
2 0
3 0
0 0
4 0
0 0
1 0
2 0
3 0
2 0
1 0
0 0
4 0
1 0
0 0
2 0
3 0
2 0
0 0
1 0
4 0
0 0
1 0
2 0
3 0
2 0
1 0
0 0
4 0
2 0
1 0
0 0
0 0
1 0
2 0
3 0
4 0
1 0
0 0
2 0
3 0
2 0
0 0
1 0
4 0
0 0
1 0
2 0
1 0
3 0
2 0
0 0
4 0
0 0
2 0
1 0
3 0
2 0
1 0
0 0
4 0
1 0
0 0
2 0
3 0
2 0
0 0
1 0
4 0
0 0
1 0
2 0
3 0
2 0
1 0
0 0
4 0
1 0
0 0
2 0
3 0
2 0
0 0
1 0
4 0
0 0
2 0
1 0
1 0
3 0
2 0
0 0
4 0
2 0
0 0
1 0
3 0
1 0
0 0
2 0
4 0
0 0
2 0
1 0
3 0
2 0
1 0
0 0
4 0
1 0
0 0
2 0
2 0
0 0
1 0
3 0
4 0
1 0
0 0
2 0
3 0
2 0
0 0
4 0
1 0
0 0
2 78
1 79
4 0
3 0
2 0
0 0
1 0
2 0
0 0
1 0
3 0
4 0
2 0
0 0
1 0
2 0
0 0
1 0
3 0
4 0
0 0
1 0
2 0
0 0
1 0
2 0
4 0
3 0
2 0
1 0
0 0
2 0
1 0
0 45
